impact,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"Marine sedimental ecotoxicity (MSETP100) | Problem oriented approach: non baseline (CML, 1999) | MSETP 100 (Huijbregts, 1999 & 2000)",6121484129433.703,5672255688133.356,5537037308626.428,5394799328188.614,5301066801165.123,6150282707463.69,5566639390272.078,5566873905448.767,5801436615321.572,6220561926383.489,6639455635396.932,7047011806649.031,7501955393815.515,7322535729894.158,6509619777810.223,7423246535410.939,8067496374787.554,8618096932315.341,8524314799612.463
"Terrestrial ecotoxicity (TETP100) | Problem oriented approach: non baseline (CML, 1999) | TETP 100 (Huijbregts, 1999 & 2000)",19594759100.95569,19538634227.690807,19236433749.208164,18861016748.91402,19015966049.277206,22525891088.02038,19673481741.785297,19898721690.476753,20868971588.78441,22784401471.441296,24270387956.755596,26706375770.06662,29017598117.81129,28227672983.418476,25087300330.207695,29376736797.037285,31587966925.4035,33391994839.023544,32700406872.5329
"human toxicity (HTP500) | Problem oriented approach: non baseline (CML, 1999) | HTP 500 (Huijbregts, 1999 & 2000)",29365474559923.906,29584151764419.34,29067365540646.438,28480648727634.85,29060031015895.668,32195158222840.26,29155672973439.574,29942855243536.996,31446408882413.906,34942872196713.938,37482383013937.69,41368501432261.75,44957944066618.52,43199983920572.85,36954329736122.7,43530374440573.03,46517533525652.27,47736071075014.984,46564484916628.805
"Freshwater aquatic ecotoxicity (FAETP500) | Problem oriented approach: non baseline (CML, 1999) | FAETP 500 (Huijbregts, 1999 & 2000)",58764792171.528435,54027119860.04887,52636891326.5462,51238014771.64336,50059770363.330765,56760784802.65593,52541283737.334435,52659254332.98037,55041737132.36426,58194669596.506836,61893791238.91169,64459127973.86843,67780858741.35651,66102095800.96974,60352847888.1109,66854781023.092865,72245033328.68164,77270763283.33144,76953091295.21944
"Marine aquatic ecotoxicity (MAETP500) | Problem oriented approach: non baseline (CML, 1999) | MAETP 500 (Huijbregts, 1999 & 2000)",13839857902681.324,13701492504085.885,13454641448139.953,13134397322674.803,13152648507968.188,15860414954020.312,13620149468518.758,13615311356213.764,14131335661030.393,15396880555584.148,16342083632126.783,17990205150925.086,19538046417301.59,18769643290002.094,16001989876710.064,19154424615579.07,20897247361473.984,22061947828897.637,21603199095510.74
"Freshwater sedimental ecotoxicity (FSETP500) | Problem oriented approach: non baseline (CML, 1999) | FSETP 500 (Huijbregts, 1999 & 2000)",169411818184.3407,153632399510.57108,149592921072.63852,145537414111.99585,141642406470.77646,160466506708.22272,149337035164.9962,149334589571.9128,155881853455.94415,164897975405.3772,175800886331.06146,182300860894.11526,191287928606.6726,187752942925.4923,171750090194.37988,189463132252.8545,204804113345.4482,219825955824.99207,219020425138.77527
"Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)",16335270545665.734,15891011187972.742,15581454098789.883,15200342010196.744,15145623051592.51,18144718499931.176,15748515034436.055,15732867156263.049,16338249641973.516,17750948258919.93,18875650268707.94,20621455765014.957,22307547969090.0,21519544919727.96,18488255171747.48,21928272321023.727,23923553940537.668,25346275980347.36,24866223577564.332
"Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500",78729924443.30869,78563116981.35976,77346108424.52211,75814164397.98235,76383966547.1354,90734340054.26878,79145896688.21173,80120159257.81276,84103258079.89989,92171626177.27704,98446011172.3169,108785381854.85318,118530731018.86412,115173421238.52238,101466307138.60532,119926906566.57585,129504852156.71143,137169580175.39682,134054960172.72484
"photochemical oxidation (high NOx) | Problem oriented approach: baseline (CML, 1999) | POCP (Jenkin & Hayman, 1999; Derwent et al. 1998; high NOx)",31512222653.21406,32263678706.069466,32232449260.792526,31486796383.808914,31034546990.6507,31044972496.473488,30446303931.810963,29976149110.885685,29667902000.303207,29550075093.692013,29613187124.516415,29352445264.418877,29210129074.457306,28914098404.68577,28382729660.27818,28966224021.30213,29206304531.02614,183090141372.3963,29373263245.63009
"photochemical oxidation (low NOx) | Problem oriented approach: non baseline (CML, 1999) | POCP (Andersson-Skï¿½ld et al. 1992; low NOx)",18576590613.495975,20027454653.4468,19867648702.874386,19274074620.609848,18989185870.275806,18652619571.320198,18204973285.68364,17990827822.956806,17797950927.02259,17657144320.20014,17685699456.853268,17734369932.087513,17772722636.041496,17826373147.21709,17579530959.254276,18040827190.52108,18094448863.875977,18481867657.482674,18210769336.491768
"photochemical oxidation (MIR; very high NOx) | Problem oriented approach: non baseline (CML, 1999) | MIR 1997; very high NOx (Carter, 1994, 1997, 1998;Carter, Pierce, Luo &  Malkina, 1995 )",7773987106.320044,8358468019.5162735,8289834640.619337,8046284980.496868,7931987402.970985,7799235064.1457405,7621984339.659505,7537602320.64198,7467864011.281197,7420043419.886349,7437555488.704943,7464015363.7943535,7482901879.995761,7508926563.346286,7409083547.683346,7602841187.359316,7633434200.090923,7794087568.597538,7687583160.526518
"photochemical oxidation (MOIR; high NOx) | Problem oriented approach: non baseline (CML, 1999) | MOIR; high NOx (Carter, 1994, 1997, 1998;Carter, Pierce, Luo &  Malkina, 1995 )",14018820200.84356,15077330335.764593,14953913794.56213,14513755041.265526,14306661948.119476,14065657879.677708,13744014318.67254,13590806041.280521,13462861095.352951,13374415012.748947,13404886884.537325,13451388807.092285,13484881985.494013,13531100790.974312,13350365771.015987,13699626670.596157,13753171434.636261,14043171112.747833,13849728764.723253
"photochemical oxidation (EBIR; low NOx) | Problem oriented approach: non baseline (CML, 1999) | EBIR; low NOx (Carter, 1994, 1997, 1998;Carter, Pierce, Luo &  Malkina, 1995 )",17905813754.015274,19256564345.5163,19098831114.88336,18536897531.505096,18272655649.612152,17965275411.75171,17555006488.513775,17359607201.597687,17196793101.00163,17084436722.68716,17123664628.890347,17183396488.984573,17226332925.486378,17285564072.65106,17054907544.859795,17501047264.280327,17569888534.6845,17940214897.04856,17693520344.981026
"acidification (incl. fate, average Europe total, A&B) | Problem oriented approach: baseline (CML, 1999) | AP ( Huijbregts, 1999; average Europe total, A&B)",262986822839.98862,295087874858.5389,297730779450.9685,277574756290.45795,273038434885.72568,258182183570.1529,266189346664.63507,259131619316.93304,269511416460.19855,270745042285.74658,281832955441.14246,290041503143.1079,289457378036.1315,281097481471.48865,295934011159.66156,296916964249.3927,304673134185.80206,314970303242.81134,310421948466.29034
"acidification (fate not incl.) | Problem oriented approach: non baseline (CML, 1999) | AP (Hauschild & Wenzel (1998).",274541960503.11948,313653396811.09827,317316233259.9216,293276531901.9077,289668980905.0924,272163738328.01788,281164321814.70776,272623694357.71664,283138745238.9175,283308681721.8702,294863680173.86993,305710353262.9032,305371600438.72797,297210549428.77576,315051360922.54755,316877381787.0419,325559632282.75574,336668605327.6744,331793249153.705
"eutrophication (fate not incl.) | Problem oriented approach: baseline (CML, 1999) | EP (Heijungs et al. 1992))",33004729285.574703,40315176731.1314,41221980046.623764,36754104421.218925,36897369778.65475,33561908029.66163,35239914824.90596,33618180075.131077,34802096811.82027,34207149899.99588,35633338326.44647,38158108053.0734,38265761671.87876,37561457348.9211,41238903122.11421,41796278235.58224,43225306932.80711,44808603953.608086,44055594511.862816
"eutrophication (incl. fate, average Europe total, A&B) | Problem oriented approach: non baseline (CML, 1999) | EP ( Huijbregts, 1999; average Europe total, A&B)",349152038967.19855,433498158587.43115,444737336062.0676,390519520496.62085,392061916711.99,350731161403.5414,372047490031.1648,352269655317.3676,366717651567.391,357882817905.7322,374699172970.36145,404872267516.52405,405211546641.2864,397043142593.8198,443643595721.9464,448771521260.8662,464895470978.8587,484059232757.7764,474700622854.8458
"odour | Problem oriented approach: non baseline (CML, 1999) | 1/OTV",5.772889379450756e+16,7.38499293745986e+16,7.639634515107754e+16,6.453488230385098e+16,6.494345145455165e+16,5.505547120493731e+16,6.082800710569369e+16,5.653750164967174e+16,5.983685260996045e+16,5.721651919296497e+16,6.074920848999395e+16,6.740288386003726e+16,6.725796512975406e+16,6.569124936301655e+16,7.748321904067693e+16,7.791826401087349e+16,8.13075736049102e+16,8.556862975265909e+16,8.316874799807736e+16
Climate change midpoint | ILCD recommended CF | Global warming potential 100 years,32151198469385.57,31624460091583.895,31867447383788.086,31899434038244.043,32001361769676.0,32931196041679.043,33251510109613.1,33797384907079.82,34933480746628.266,36474954281990.7,37724873628735.09,38875263429153.94,40011201983134.88,40380546065626.875,39915208763929.484,41907761491514.484,43333606783672.61,43515245813155.695,44031362648106.65
"Climate change endpoint, human health | ILCD recommended CF | Disability Adjusted Life Years (DALY)",45010223.647407725,44272760.25696169,44612956.72650992,44657714.13131112,44800397.31287432,46102162.148367815,46550576.00252538,47314780.52075454,48905311.86386357,51063334.6129938,52813209.10624802,54423732.76906636,56014004.51231277,56531085.3653831,55879620.08056358,58669152.522016376,60665280.20135879,60919531.37771488,61642109.70514442
"Climate change endpoint, ecosystems | ILCD recommended CF | Potentially Disappeared Fraction of species (PDF)",254866.46086654474,250688.09338721773,252616.1230365525,252870.68647658767,253678.75409125997,261052.04296705106,263591.3038902046,267919.5720332273,276927.2786886733,289148.67891857855,299059.13672563434,308179.98240912764,317186.628272366,320114.60083212925,316424.7335645848,332223.1705645739,343527.3507412265,344966.9746288806,349059.5572638998
"Human toxicity midpoint, cancer effects | ILCD recommended CF | Comparative Toxic Unit for human (CTUh)",74548.87855002443,73949.52381883173,72424.80562267007,70661.53372342957,71087.89139207482,82797.71491510294,72635.02472704819,73580.28632970412,77050.6162235736,84581.16473920272,90221.38817599682,99307.0924845375,107767.7674894595,104232.33059855741,91033.75167175743,107083.51602346858,114917.92088469278,120659.84475603735,117847.00578215663
"Human toxicity midpoint, non-cancer effects | ILCD recommended CF | Comparative Toxic Unit for human (CTUh)",12859354.11870232,12485824.95358872,12061862.397875374,11613110.911279308,11360350.255983017,14665866.434171401,12019252.04244639,12019012.563676698,12645684.243015023,14180281.514975399,15401884.151332995,17592995.79010352,19597044.513012562,18476190.087734688,14542864.01599576,19162747.0976675,21878296.99626094,23797662.649140943,22936035.505686037
"Human toxicity endpoint, cancer effects | ILCD recommended CF | Disability Adjusted Life Years (DALY)",857026.0901257684,850126.2665860316,832587.6979583482,812307.1955911258,817195.1492893541,951804.5112668563,834981.4828101473,845855.7472690591,885758.5169792878,972349.0619690978,1037208.6184481741,1141680.9741285052,1238963.7500487855,1198296.4501061249,1046491.7503527153,1231066.7790879218,1321172.854937006,1387204.8076264022,1354846.9979452048
"Human toxicity endpoint, non-cancer effects | ILCD recommended CF | Disability Adjusted Life Years (DALY)",34703689.70962177,33695104.85797447,32550534.045137104,31339097.33180907,30656338.825319298,39577372.924775146,32434700.262305543,32434134.558021266,34125496.396964006,38267549.15768334,41564936.92372747,47479036.22097931,52888124.39157868,49862273.9894363,39244255.48786913,51714820.2503967,59045176.25719662,64226065.82011534,61899956.513204254
Particulate matter/Respiratory inorganics midpoint | ILCD recommended CF | emission-weighed average PM2.5 equivalent,58283868190.66344,51772232611.52112,51412576450.429504,50375830922.81758,49625835293.90697,49935574657.34729,49738544597.98389,49788276890.3365,51334095573.03346,52866744387.33946,54948734867.4131,56855145988.790634,58407050001.67082,57844102433.90021,57947187094.95073,60767292883.57742,63027266241.587814,65782167213.28281,65543951706.68799
Particulate matter/Respiratory inorganics endpoint | ILCD recommended CF | Disability Adjusted Life Years (DALY),104910962.37119105,93190018.29388063,92542637.20501354,90676495.27383602,89326503.14679763,89884034.01361535,89529379.91270505,89618898.04551524,92401371.677139,95160139.54781117,98907722.40943688,102339262.42197537,105132689.64365558,104119384.02088337,104304936.40769434,109381126.81640561,113449078.85786907,118407900.59638126,117979112.69114563
"Photochemical ozone formation midpoint, human health | ILCD recommended CF | Photochemical ozone creation potential (POCP)",120012093627.31477,120119615521.49652,120779939698.85367,117809653086.86841,116770111392.35428,117863298052.73431,115325772882.12624,112838178063.02747,110404585577.35889,109172070277.16689,108519829595.22253,107198705074.17467,106254602516.08316,105125216417.94733,102884568991.45111,105383318947.59787,106416956465.61061,1127731198340.1753,106696508320.9295
"Photochemical ozone formation endpoint, human health | ILCD recommended CF | Disability Adjusted Life Years (DALY)",4681.138623694606,4685.39272505501,4711.139507271386,4595.270014646601,4554.728585897074,4597.34954858086,4498.36883630709,4401.344072920996,4306.4192516569365,4258.340668693889,4232.897086837613,4181.387418346997,4144.573195799107,4100.545106702217,4013.1548346647396,4110.6334347775555,4150.949613415306,43982.21686679631,4161.857114307658
Acidification midpoint | ILCD recommended CF | Accumulated Exceedance (AE),314698492371.59076,363435001380.34595,369430885252.39343,333785338308.803,329450977640.6718,300102033682.7475,317788099186.4846,305224526218.5242,320638356403.0063,317542011558.50757,333405098650.8452,350127818024.5337,348867846439.27704,338397820234.1272,371476685559.78156,371622111702.2782,383699987131.2254,399984169759.6135,391525965336.84326
Acidification endpoint | ILCD recommended CF | Change in potentially not occuring fraction of plant species per change in base saturation,1441.1792629128618,1670.3236880205611,1698.9813475556614,1531.328125475457,1512.4765332790232,1374.3374328916593,1457.4276267161947,1398.2457853882393,1469.2254115055023,1453.3441273912326,1526.5062691569235,1606.0617377210767,1600.363098838808,1552.7084382945882,1708.9401161258834,1709.94464319797,1766.2289696912737,1841.8593255854878,1802.4212666254427
Eutrophication terrestrial midpoint | ILCD recommended CF | Accumulated Exceedance (AE),779340066225.937,996974046557.2823,1031350659539.5867,871220911102.2023,876736594636.3296,743248861266.5414,821178095926.9607,763256272270.6521,807797510234.3175,772423009105.0563,820114314614.711,909938932110.7618,907982529251.555,886831866400.8557,1046023457049.4937,1051896564147.2736,1097652243666.3259,1155176501660.8704,1122778097974.0557
Eutrophication marine midpoint | ILCD recommended CF | Potentially Disappeared Fraction of species (PDF),6465636104.9844,8271192089.955358,8556390656.920392,7227906818.034157,7273666562.907964,6166212774.952803,6812736795.835511,6332200184.763276,6701727492.316783,6408250149.61484,6803911350.875965,7549122992.325966,7532892094.531134,7357419928.659001,8678120532.556564,8726845569.218124,9106448243.747498,9583686532.296095,9314899775.782728
Ecotoxicity freshwater midpoint | ILCD recommended CF | Comparative Toxic Unit for ecosystems (CTUe),5807739582144.374,5636733530577.489,5472055740005.622,5296545809919.255,5205116973704.018,7065881582799.561,5593824836744.803,5545011901237.624,5810575285663.836,6596881150882.905,7204062203533.581,8402453667871.53,9494629908199.174,8844808911562.963,6548719613354.437,9147700580788.328,10753285670288.863,11734474239342.725,11297008207291.207
Ecotoxicity freshwater endpoint | ILCD recommended CF | Potentially Disappeared Fraction of species (PDF),5807739582144.374,5636733530577.489,5472055740005.622,5296545809919.255,5205116973704.018,7065881582799.561,5593824836744.803,5545011901237.624,5810575285663.836,6596881150882.905,7204062203533.581,8402453667871.53,9494629908199.174,8844808911562.963,6548719613354.437,9147700580788.328,10753285670288.863,11734474239342.725,11297008207291.207
"GHG emissions AR5 (GWP100) | GWP100 (IPCC, 2010)",32783901812151.457,32262568802388.117,32495622358417.39,32508439432801.293,32606578218215.844,33541700022790.043,33861898749310.406,34408133053591.133,35562727002012.06,37118175551788.95,38381742911447.016,39546423172629.35,40684686858370.05,41065601477240.15,40598001712512.03,42607360871148.7,44046926819212.2,44244183945895.35,44767161733000.55
Nitrogen,43039796821.0645,46290775104.671936,46230155726.91258,45574632003.26303,46332119056.40025,44603893090.039536,45392394129.72332,45966917880.08201,46850773730.968544,47621753505.98877,49147633195.06752,51491333091.705185,53053330536.35688,52150830945.38642,54508431021.96821,55242532366.61914,57142398003.721725,62319459825.61583,61474467532.483185
Phosphorous,25546597726.003956,25123586301.426575,25861135580.00038,25546578122.7983,25381454546.363094,25195960273.12528,25372218311.663586,25986706749.185894,26453561561.310005,27395463213.788277,27792207331.028313,28903057658.128635,28819852113.057728,27158847448.669926,28433211206.0349,29450818146.121178,29199519501.015778,31994365282.941734,32057137155.29185
PM10,39532802999.24437,33504917340.896194,33055341518.413612,32832697193.455643,32527242538.92324,33594436743.182297,33007341500.290695,33229574917.216663,34244361287.94378,35457501084.26417,36748616665.691696,38123403107.39492,39491026707.85793,39124473176.05511,38269463634.97954,40496160773.138466,42320177980.95075,44410398167.07515,44305374630.875
PM25,32190044993.58008,26473029394.541645,26181321190.162663,26016809021.279068,25775655905.458786,26541758386.90776,26053581025.249367,26139212436.683197,26710366222.876606,27532160561.98859,28365420304.413376,29279978040.077545,30245788751.573685,29880100632.121796,29061633562.099937,30647464753.918633,31914388936.12117,33417728556.509884,33244719097.878464
SOx,107142926039.7318,107181843258.81648,105888490760.37381,106022895993.20108,101772331487.02605,102163748583.06784,102356883761.2901,102657458959.13458,106817604214.47224,110494750836.40489,114459915275.64139,111886342570.35855,111258619654.50107,106878051265.44408,104944552715.28204,104052636938.49356,105458866293.49919,108066341913.557,107142249147.07556
NOx,84123194142.53494,96644533013.97911,96885807727.14832,94207819975.03839,94029060714.59653,95018643868.5996,92097280763.87201,90989965182.79286,91207189913.27031,93234351227.62747,94587135683.35947,95889350880.54692,96691693175.56042,95499081535.6654,92078569212.89238,94792731227.85419,96085901188.55298,96788900300.26324,97591396319.9222
Domestic Extraction Used - Crop and Crop Residue,5473341.420000421,5797476.740000288,5883219.208000529,5947358.462000139,6080351.848000681,6145036.643000003,6226759.553000001,6305991.364000002,6472565.481000001,6769175.2119999975,6798851.085000005,6928098.481999995,7290530.686999999,7675751.574000003,7644367.137000004,7748687.928000003,8174237.080000003,8211938.740999999,8615323.538000004
Domestic Extraction Used - Grazing and Fodder,9067457.920895562,9165926.294048568,9228319.490539398,9228482.092791127,9294895.412208831,9297912.848025855,9381565.262190588,9541449.480220253,9690022.489791375,9946289.826918637,10091065.40634607,10249265.517050363,10507523.183689611,10848430.60013548,10904567.652971007,10886922.641935522,11084828.268073717,11145198.588979041,11422367.7869974
Domestic Extraction Used - Forestry and Timber,2281756.6104586297,2259769.7598264525,2301349.617408244,2285912.474230167,2321141.2123613018,2365932.5365525815,2313843.441788746,2354797.0117311827,2394984.596910339,2427591.7851114706,2449865.332518551,2428356.293623744,2456722.5466008023,2388134.3835124383,2324310.4704160956,2433703.4041950814,2486410.28358286,2494086.596453918,2520527.2744614636
Domestic Extraction Used â Fisheries,94145.62070000001,95834.7368,95157.65849999999,87514.48660000002,93488.62179999998,95368.92680000002,92646.6517,92932.1057,90167.2664,94763.60450000002,94534.9923,92222.78940000001,92646.9367,91968.4977,91826.70770000001,90701.96040000003,95219.2187,92862.7919,94249.31689999998
Domestic Extraction Used - Non-metalic Minerals,16489863.344421418,16881488.452961985,17408381.886292897,17794293.11213773,18587279.73503044,19168082.14755932,19765833.621039808,20378016.397274032,21964095.479585603,23598151.680508893,25224509.971553907,27495104.833705805,29242716.487018064,29147363.128330372,30407043.59702127,31906048.919072043,34975698.48362146,36234173.64192091,38622652.57898382
Domestic Extraction Used - Iron Ore,1044263.6165000001,1020163.9055000001,1064080.9390000002,1053436.3869999999,1020466.6174999999,1090043.06,1056384.9324999999,1123708.9800000002,1244436.3665,1382029.2355,1575755.8675,1839471.2045,2056521.4575000003,2235401.2550000004,2279974.6259999997,2624302.3440000005,3007350.3219999997,2960464.717,3143272.831
Domestic Extraction Used - Non-ferous metal ores,3252622.956598665,3487980.95582122,3644844.8151405654,3717161.3781177206,3746369.2344265003,3861032.5334932483,3928037.9617362586,3940718.602467997,4012992.3505295506,4111658.2850439306,4255274.518980395,4318715.011525171,4531155.965140592,4548501.285534613,4524794.758844387,4705883.704799593,4844984.664651632,5140299.684503863,5463165.681999643
Unused Domestic Extraction - Crop and Crop Residue,2948629.9296855014,3134101.5220552622,3164097.809480579,3221519.731695039,3307546.4094004775,3348807.7455699984,3398439.512884999,3402452.7210500017,3527170.669245001,3737657.4796849997,3780591.565214999,3842572.6058099996,3986775.838940001,4205180.386715,4188215.9001749996,4319573.43474,4496101.4102,4534864.97049,4800060.742390003
Unused Domestic Extraction - Grazing and Fodder,513908.5262974946,518731.2261372651,519472.7971481848,516582.5128194295,537503.9114643021,531118.696069024,529530.012135471,533200.1289427159,529216.2075768583,550681.4534850297,552465.2918739232,549178.7759615243,574366.071619144,583578.2941779463,582338.053376428,525534.1858359977,547263.2474794516,536546.776938777,557239.2682360539
Unused Domestic Extraction - Forestry and Timber,349082.30280793476,345355.4164675391,351669.2366818507,349643.9264007939,354706.44846539246,364237.63800521917,353901.7357596943,360175.3806692565,367594.7713653887,373046.2597601398,376782.2416940543,374077.4049261833,380767.6868288188,366782.77755979204,355742.9999171638,373314.15018815576,381292.4463520593,382010.59638116596,385788.6928454087
Unused Domestic Extraction â Fisheries,19209.897813000003,19604.174599000005,19217.980441,17508.044772999998,18747.075797999998,19091.552452000004,18560.556276,18611.074936,18112.241380000003,19238.44842,19237.729482000002,18544.916402000003,18628.139138,18493.332249000003,18668.904191999998,18361.983775999994,19401.379965999997,18752.364858000004,18989.255323999998
Unused Domestic Extraction - Coal and Peat,22422648.236672,22654031.32345723,23054795.828364763,23180416.120033216,22979981.70768334,23520793.91590086,24718964.452773698,24690929.315446608,25316068.054037612,26354503.548628293,27438557.7946058,28311041.447887003,29048561.380965505,29572198.8758662,29390598.020352483,30295211.4462602,30986561.31516009,31860537.628412396,32501177.9704124
Unused Domestic Extraction - Oil and Gas,827459.4441317901,851583.7544496999,872171.3188303,889339.27663103,877532.7249965003,909638.0730794001,911686.29666614,912272.7048991,951973.0099590999,994707.0019389,1017234.6663749999,1029254.5458804001,1026275.3562728001,1041741.5224851999,1012519.7754513,1043443.4412533998,1054900.7432277002,1071171.6112602,1079044.5927162
Unused Domestic Extraction - Non-metalic Minerals,1786702.378675092,1797568.076698357,1815401.0613269086,1877399.2391818357,1911647.1896563312,1914215.5331037126,1925974.4839824867,1989612.6327765503,2099244.5722370693,2218719.1328335693,2373393.670400476,2444194.614749851,2557850.3357619788,2386631.841054706,2027993.0817280158,2162189.6184880827,2251234.842374932,2328030.491583906,2414331.0032081464
Unused Domestic Extraction - Iron Ore,886983.0579340002,871110.9387570001,907040.0859579999,900692.694312,866805.425187,926065.4172290001,900731.476371,953287.5681710001,1053433.109726,1167874.8196540002,1336732.757671,1560097.705168,1744417.340242,1918112.058589,1980106.7148580002,2292114.0707780006,2659559.086745,2653492.6321949996,2837143.9272689996
Unused Domestic Extraction - Non-ferous metal ores,4323970.005719008,4596883.790599409,4860576.149082475,4924166.5200432595,4953619.292413534,5019978.57711003,5018383.1677594725,4869909.110484113,4951003.382802538,5028711.397290985,5131157.112336562,5121023.801750022,5190829.132049424,5213025.223238422,5361254.841648522,5594884.405399934,5716864.166823203,5972356.315619515,6264066.174179369
"Land use Crop, Forest, Pasture",62882435.2027063,61664484.05840963,61728861.75025852,61789300.33856271,61721629.2275005,61767773.630506575,61812369.63423861,61768505.33120107,61733319.50931196,61897884.16157729,61843191.96394907,61814647.39788766,61744836.15213161,61832279.2068813,61805008.94291288,61816594.462040395,61943305.16415551,67834991.0521399,65973937.937621824
