impact,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Respiratory effects on humans caused by inorganic substances (E.E) | ECOINDICATOR 99 (E.E) | Respiratory effects on humans caused by inorganic substances (E.E),18552990.622436225,21067132.97428878,21232045.057666123,19982359.840223324,19763914.52437253,19026633.344550118,19259181.62393851,18808197.414995458,19330834.598056547,19486019.420664024,20123383.60178804,20664573.11497667,20689764.691890873,20211617.864203498,20799175.670093004,21036750.636583436,21516708.631765846,22090201.126740035,21901940.582067512
Damages to human health caused by climate change (E.E) | ECOINDICATOR 99 (E.E) | Damages to human health caused by climate change (E.E),6554761.150087449,6442170.315350072,6496093.392849365,6507910.700510831,6530071.416138769,6724073.598180286,6790900.589097435,6905262.400165083,7138668.842120876,7457667.460164266,7716224.699634717,7953547.517355632,8190924.951200187,8265271.916265829,8168132.762089868,8581335.23279995,8876072.629993863,8911305.878582202,9017859.471680699
Damage to Ecosystem Quality caused by ecotoxic emissions (E.E)) | ECOINDICATOR 99 (E.E) | Damage to Ecosystem Quality caused by ecotoxic emissions (E.E)),2201212603385.761,2118126447353.801,2027486600020.2722,1929979916876.7478,1846078173629.468,2477248578462.911,1979940397885.4363,1963481066078.6768,2065145135397.1853,2332051456663.571,2551066826296.2773,2951884824974.0825,3313483562053.956,3081665794501.6426,2289838707587.4585,3191756631772.7646,3739977718015.593,4132401328975.375,3953220691062.8403
Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (E.E) | ECOINDICATOR 99 (E.E) | Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (E.E),1490827467848.4556,1813407199183.4026,1853087200863.9688,1653245081707.6318,1654160699632.277,1506266086456.9414,1579656062290.171,1506840256338.2952,1563783426019.06,1538393947666.2654,1605265776604.1113,1713622217403.4946,1715294340447.6677,1679525146375.5864,1841570042946.3416,1862922348283.5745,1924536686907.8984,1997600623102.0435,1963847080962.0825
Carcinogenic effects on humans (I.I) | ECOINDICATOR 99 (I.I) | Carcinogenic effects on humans (I.I),500565.7914393237,502749.3488649775,489198.39551300794,471397.59824255534,460900.31290397886,589510.5514220108,482612.98194063955,471815.63573914365,484926.1860200648,523326.95368011895,550882.0650423019,610642.9835780341,664974.3962081582,631052.3156662133,521508.93661322235,644816.3140428561,714301.820274657,770116.7490594108,749568.1124287068
Respiratory effects on humans caused by organic substances (I.I) | ECOINDICATOR 99 (I.I) | Respiratory effects on humans caused by organic substances (I.I),109956.19001863722,108144.45764502382,109235.04301095103,106444.84929535756,106001.81938090932,107736.1675484797,105319.27693556031,102630.51301084255,99652.62663888166,98088.51179421239,96938.52283014702,95603.36656874321,94516.14136519263,93557.82225907111,91404.27419488065,93910.26785083121,95003.29649374014,1309634.4582576621,95075.25250042499
Respiratory effects on humans caused by inorganic substances (I.I) | ECOINDICATOR 99 (I.I) | Respiratory effects on humans caused by inorganic substances (I.I),34471867.46241525,30743140.3606251,30550899.51983392,29803114.706856973,29451284.87458981,29646564.7747849,29535185.949306123,29431338.4476149,30331448.978842266,31095148.31317477,32210290.954153426,33293924.24937624,34130298.97463255,33591198.17538413,33461420.67050747,34870941.74411528,36246088.57968757,37905362.25550026,37630880.615254164
Damages to human health caused by climate change (I.I) | ECOINDICATOR 99 (I.I) | Damages to human health caused by climate change (I.I),6312013.253369574,6205696.373709439,6256134.424864709,6266474.595362604,6287618.76999924,6472736.88347998,6536861.194412143,6646132.860231166,6869739.739365637,7175287.011865601,7422679.267665654,7650066.252148321,7877033.095253522,7948644.040705869,7855889.00597549,8251297.538353652,8533955.04359361,8568833.746092945,8670553.876417898
Damage to Ecosystem Quality caused by ecotoxic emissions (I.I) | ECOINDICATOR 99 (I.I) | Damage to Ecosystem Quality caused by ecotoxic emissions (I.I),264055006768.68057,255207887127.36432,245939599628.9552,235946481902.06143,227594996019.5009,319644285441.4506,247198909163.70676,242220090003.87268,253227480958.43747,286468538119.87244,312755114615.1867,366240793598.23486,414743960841.8716,383867796966.537,278248746867.4424,398313937221.46277,473828669960.6537,524009207871.8917,503195864883.34845
Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (I.I) | ECOINDICATOR 99 (I.I) | Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (I.I),1490827467848.4556,1813407199183.4026,1853087200863.9688,1653245081707.6318,1654160699632.277,1506266086456.9414,1579656062290.171,1506840256338.2952,1563783426019.06,1538393947666.2654,1605265776604.1113,1713622217403.4946,1715294340447.6677,1679525146375.5864,1841570042946.3416,1862922348283.5745,1924536686907.8984,1997600623102.0435,1963847080962.0825
